Output Factor
Date and time: 2026-04-03_14-42-17
Description: {}
ACR used: 1.1
Rank used: 1
Integration time: 752 us
Number,Time,ch0,ch1
10,0.00828,-9.83529411764706,-9.923918516823072
11,0.009032,-9.854337376974136,-9.879240100709545
12,0.009784,-10.079926756694896,-10.275486381322956
13,0.010536,-10.048432135500114,-9.671961547264821
14,0.011295,-9.920256351567865,-9.96420233463035
15,0.012048,-9.917326619363699,-9.980315861753262
16,0.012801,-9.934172579537652,-10.165621423666742
17,0.013553,-10.03085374227512,-9.982513160906386
18,0.014309,-9.910734721904326,-10.085786221103227
19,0.015061,-10.166353856717784,-10.001556420233463
20,0.015815,-9.951750972762646,-9.802334630350195
21,0.016567,-10.052826733806363,-9.92831311512932
22,0.01732,-10.24692149233234,-9.89681849393454
23,0.018073,-9.906340123598078,-9.878507667658504
24,0.018826,-9.844815747310598,-9.966399633783475
25,0.019578,-9.942229343099108,-10.125337605859464
26,0.02033,-9.85580224307622,-10.1949187457084
27,0.021082,-9.940032043945983,-10.203707942320897
28,0.021833,-10.099702449073014,-10.155367360952162
29,0.022586,-9.885831998168918,-10.028656443121996
30,0.02334,-9.968596932936599,-10.177340352483405
31,0.024093,-10.03085374227512,-9.95394827191577
32,0.024847,-10.060883497367819,-9.993499656672007
33,0.0256,-9.962737468528267,-9.978850995651179
34,0.026353,-10.192721446555275,-10.042572671091783
35,0.027106,-9.957610437170977,-9.694666971847106
36,0.02786,-10.20590524147402,-9.975921263447013
37,0.028612,-10.176607919432364,-10.227878233005264
38,0.029364,-10.223483634699015,-10.101899748226138
39,0.030118,-10.0923781185626,-10.351659418631264
40,0.030872,-9.855069810025178,-10.317967498283359
41,0.031626,-9.805264362554361,-9.803799496452278
42,0.03238,-10.161226825360494,-10.23080796520943
43,0.033132,-10.082856488899061,-10.044769970244907
44,0.033885,-10.043305104142824,-10.194186312657358
45,0.034638,-10.072602426184481,-9.98471046005951
46,0.035391,-9.668299382009614,-10.271824216067749
47,0.036144,-9.937834744792859,-9.723964293888763
48,0.036897,-9.84115358205539,-10.197848477912565
49,0.037649,-10.109224078736553,-10.19052414740215
50,0.038402,-10.064545662623026,-10.239597161821926
51,0.039155,-9.949553673609522,-10.242526894026092
52,0.039908,-10.101167315175097,-10.243991760128175
53,0.040661,-10.084321355001144,-10.004486152437629
54,0.041414,-9.890226596475166,-10.286472877088578
55,0.042167,-10.207370107576104,-9.88143739986267
56,0.042919,-10.259372854200045,-10.018402380407416
57,0.043673,-10.19052414740215,-10.034515907530327
58,0.044426,-9.946623941405356,-9.944426642252232
59,0.045179,-10.11801327534905,-9.659510185397117
60,0.045933,-9.946623941405356,-10.018402380407416
61,0.046686,-9.931975280384528,-10.161959258411535
62,0.047438,-10.02059967956054,-10.18027008468757
63,0.048191,-10.219089036392766,-9.797940032043947
64,0.048945,-9.990569924467842,-9.944426642252232
65,0.049696,-10.047699702449073,-9.999359121080339
66,0.050449,-9.960540169375143,-10.148043030441748
67,0.051202,-10.164888990615701,-10.12826733806363
68,0.051955,-9.90267795834287,-10.004486152437629
69,0.052707,-9.82577248798352,-10.01034561684596
70,0.05346,-10.156099794003204,-10.1949187457084
71,0.054213,-10.21103227283131,-9.811856260013734
72,0.054966,-9.989105058365759,-9.997161821927214
73,0.05572,-10.126802471961547,-10.147310597390707
74,0.056473,-10.09750514991989,-10.167086289768825
75,0.057226,-10.068207827878233,-10.227145799954222
76,0.05798,-10.176607919432364,-9.926848249027238
77,0.058733,-10.013275349050126,-9.934905012588693
