Output Factor
Date and time: 2026-04-03_11-31-32
Description: {}
ACR used: 1.1
Rank used: 1
Integration time: 751 us
Number,Time,ch0,ch1
10,0.008275,-9.926115815976196,-9.890226596475166
11,0.009027,-9.927580682078279,-9.97445639734493
12,0.009779,-10.2674296177615,-9.792080567635615
13,0.010532,-10.007415884641794,-10.239597161821926
14,0.011286,-9.940032043945983,-9.796475165941864
15,0.012039,-9.795742732890822,-9.685877775234609
16,0.012792,-9.921721217669948,-10.118745708400091
17,0.013545,-9.630945296406502,-10.005951018539712
18,0.014297,-10.027924010070954,-9.955413138017853
19,0.015051,-9.954680704966812,-10.137056534676127
20,0.015803,-10.117280842298008,-9.766445410849165
21,0.016556,-9.929045548180362,-9.827237354085604
22,0.017309,-9.920256351567865,-10.065278095674067
23,0.018061,-10.047699702449073,-9.781094071869994
24,0.018814,-9.729823758297094,-10.008148317692836
25,0.019568,-9.977386129549096,-10.060883497367819
26,0.020321,-10.146578164339665,-9.6097047379263
27,0.021075,-9.975188830395972,-9.88216983291371
28,0.021827,-9.97445639734493,-9.710048065918976
29,0.022579,-10.013275349050126,-9.819180590524148
30,0.023331,-10.153170061799038,-9.72762645914397
31,0.024085,-9.77376974135958,-10.154634927901121
32,0.024836,-9.96420233463035,-9.781094071869994
33,0.02559,-9.973723964293889,-9.824307621881438
34,0.026343,-10.074799725337606,-9.700526436255437
35,0.027094,-9.693202105745023,-9.90194552529183
36,0.027846,-10.160494392309452,-9.704188601510644
37,0.028599,-10.02059967956054,-10.125337605859464
38,0.029352,-10.007415884641794,-9.784756237125201
39,0.030105,-10.173678187228198,-9.927580682078279
40,0.030858,-10.053559166857404,-9.863859006637675
41,0.031612,-9.96420233463035,-9.980315861753262
42,0.032365,-10.27768368047608,-9.690272373540857
43,0.033119,-10.122407873655298,-9.729823758297094
44,0.033873,-9.971526665140765,-9.827969787136645
45,0.034624,-9.957610437170977,-9.580407415884643
46,0.035376,-9.723231860837721,-10.161959258411535
47,0.036129,-10.332616159304187,-10.175875486381322
48,0.03688,-9.87118333714809,-9.752529182879378
49,0.037633,-10.186861982146944,-9.978118562600137
50,0.038386,-10.034515907530327,-10.021332112611582
51,0.039139,-9.935637445639735,-10.199313344014648
52,0.039893,-10.003753719386587,-9.905607690547036
53,0.040645,-10.003021286335546,-9.6609750514992
54,0.041399,-10.181734950789654,-10.265232318608376
55,0.042155,-10.146578164339665,-9.624353398947129
56,0.042908,-9.920988784618906,-9.634607461661709
57,0.043661,-10.006683451590753,-9.999359121080339
58,0.044413,-9.875577935454338,-10.213962005035476
59,0.045167,-10.042572671091783,-9.940764476997025
60,0.045919,-9.948088807507439,-10.084321355001144
61,0.046673,-10.104829480430304,-9.539391165026323
62,0.047427,-10.018402380407416,-9.65584802014191
63,0.048185,-10.080659189745937,-9.883634699015794
64,0.048937,-10.206637674525062,-10.104829480430304
65,0.049689,-9.797207598992905,-9.84115358205539
66,0.050442,-10.027924010070954,-10.079194323643854
67,0.0512,-9.600915541313803,-10.043305104142824
68,0.051952,-9.992034790569924,-9.843350881208515
69,0.052708,-10.024994277866789,-9.84628061341268
70,0.053462,-9.824307621881438,-9.732021057450218
71,0.054215,-9.966399633783475,-9.888029297322042
72,0.054968,-9.971526665140765,-9.921721217669948
73,0.05572,-9.90707255664912,-9.83089951934081
74,0.056473,-10.052094300755321,-9.849942778667888
75,0.057226,-9.99496452277409,-10.028656443121996
76,0.057979,-10.192721446555275,-9.773037308308538
77,0.058732,-9.90780498970016,-9.939299610894942
78,0.059486,-10.077729457541771,-10.20517280842298
79,0.060239,-9.990569924467842,-9.749599450675213
80,0.060993,-9.786953536278325,-9.903410391393912
81,0.061747,-10.123872739757381,-9.987640192263676
82,0.0625,-10.33920805676356,-9.838956282902267
83,0.063253,-10.049164568551156,-9.997161821927214
84,0.064006,-9.899748226138705,-10.214694438086518
85,0.064759,-9.937834744792859,-10.059418631265736
86,0.065511,-10.112153810940718,-9.94882124055848
87,0.066265,-9.711512932021058,-9.63021286335546
88,0.067018,-9.92831311512932,-10.117280842298008
89,0.067771,-9.884367132066835,-10.098970016021973
90,0.068524,-10.072602426184481,-9.817715724422065
91,0.069277,-9.718104829480431,-9.874113069352255
92,0.070029,-10.150240329594872,-9.839688715953308
93,0.070781,-10.11288624399176,-9.805996795605402
94,0.071535,-10.057221332112611,-9.807461661707485
95,0.072288,-9.85140764476997,-9.84628061341268
96,0.07304,-9.862394140535592,-9.909269855802243
97,0.073794,-10.01034561684596,-10.062348363469901
98,0.074547,-9.89755092698558,-9.983978027008469
99,0.0753,-9.859464408331426,-9.706385900663768
100,0.076051,-9.895353627832456,-9.720302128633556
101,0.076803,-9.951750972762646,-10.088715953307393
102,0.077557,-10.079194323643854,-10.186129549095902
103,0.078309,-10.232272831311512,-9.674158846417946
104,0.079062,-9.889494163424125,-9.964934767681392
105,0.079815,-10.161226825360494,-9.872648203250172
106,0.080567,-9.857999542229344,-9.696131837949189
107,0.08132,-9.80965896086061,-9.740810254062716
108,0.082073,-9.997161821927214,-9.59945067521172
109,0.082825,-9.962005035477226,-9.980315861753262
110,0.083579,-9.90267795834287,-9.764980544747083
111,0.084332,-9.780361638818952,-9.779629205767911
112,0.085086,-9.797207598992905,-9.811856260013734
113,0.085839,-10.259372854200045,-9.728358892195011
114,0.086591,-10.118745708400091,-10.113618677042801
115,0.087345,-10.161226825360494,-9.805996795605402
116,0.088098,-10.197848477912565,-9.952483405813688
117,0.088851,-10.126802471961547,-9.89681849393454
118,0.089604,-9.73788052185855,-10.024994277866789
119,0.090357,-10.082856488899061,-9.759121080338751
120,0.09111,-10.022064545662623,-9.657312886243993
121,0.091862,-9.996429388876173,-9.67122911421378
122,0.092616,-9.652918287937744,-9.944426642252232
123,0.093367,-9.829434653238728,-10.159761959258411
124,0.094119,-9.917326619363699,-9.683680476081484
125,0.094872,-10.07699702449073,-10.060151064316777
126,0.095624,-9.864591439688716,-9.959807736324102
127,0.096378,-10.050629434653239,-9.917326619363699
128,0.097131,-10.044769970244907,-10.029388876173037
129,0.097883,-10.042572671091783,-9.956878004119936
130,0.098637,-9.849942778667888,-9.908537422751202
131,0.099391,-10.053559166857404,-9.817715724422065
132,0.100144,-9.874113069352255,-10.058686198214694
133,0.100896,-10.068940260929274,-9.96932936598764
134,0.101648,-10.090180819409476,-9.754726482032503
135,0.102401,-10.078461890592813,-10.037445639734493
136,0.103155,-9.82577248798352,-9.934905012588693
137,0.103909,-9.901213092240788,-9.760585946440834
138,0.104661,-9.954680704966812,-9.878507667658504
139,0.105414,-9.88216983291371,-10.060151064316777
140,0.106166,-9.985442893110552,-9.923918516823072
141,0.106918,-10.01547264820325,-10.213962005035476
142,0.10767,-9.82504005493248,-9.70711833371481
143,0.108422,-9.877775234607462,-9.658045319295034
144,0.10918,-10.198580910963607,-10.024261844815747
145,0.109933,-10.187594415197985,-9.767177843900207
146,0.110687,-9.99496452277409,-9.759853513389793
147,0.111439,-10.053559166857404,-9.759121080338751
148,0.112197,-9.91805905241474,-9.918791485465782
149,0.112951,-9.981048294804303,-9.469077592126343
150,0.113705,-9.997894254978256,-10.024261844815747
151,0.114458,-9.901213092240788,-9.82577248798352
152,0.11521,-10.036713206683451,-10.186129549095902
153,0.115962,-9.963469901579309,-9.772304875257497
154,0.116715,-9.972259098191806,-9.909269855802243
155,0.117468,-10.028656443121996,-9.734218356603343
156,0.118221,-9.813321126115817,-9.95394827191577
157,0.118972,-10.009613183794919,-10.008880750743877
158,0.119726,-10.057221332112611,-9.96420233463035
159,0.12048,-10.161226825360494,-9.70199130235752
160,0.121234,-9.89755092698558,-10.052094300755321
161,0.121987,-9.967132066834516,-10.291599908445868
162,0.122739,-10.137788967727168,-9.924650949874113
163,0.123491,-9.893156328679332,-10.0411078049897
164,0.124243,-9.760585946440834,-9.87118333714809
165,0.124996,-9.927580682078279,-10.028656443121996
166,0.125749,-9.960540169375143,-9.849942778667888
167,0.126502,-10.155367360952162,-10.144380865186541
168,0.127255,-10.22641336690318,-9.945891508354315
169,0.128009,-9.870450904097048,-9.903410391393912
170,0.128762,-9.922453650720989,-10.043305104142824
171,0.129515,-10.095307850766766,-10.027191577019913
172,0.130267,-10.104097047379263,-10.104097047379263
173,0.131019,-9.89242389562829,-9.956878004119936
174,0.131772,-9.753994048981461,-9.911467154955368
175,0.132524,-10.077729457541771,-9.775234607461663
176,0.133277,-9.79940489814603,-9.912199588006409
177,0.134031,-9.893888761730373,-9.88656443121996
178,0.134784,-10.104829480430304,-10.128999771114671
179,0.135538,-9.94882124055848,-9.844815747310598
180,0.136291,-10.02059967956054,-9.934172579537652
181,0.137045,-10.104829480430304,-9.975188830395972
182,0.137797,-9.838956282902267,-9.924650949874113
183,0.138549,-9.967132066834516,-9.970061799038682
184,0.139302,-9.82577248798352,-9.870450904097048
185,0.140055,-9.901213092240788,-9.693202105745023
186,0.140807,-10.150240329594872,-9.945891508354315
187,0.14156,-9.942961776150149,-9.695399404898147
188,0.142312,-9.92318608377203,-10.01034561684596
189,0.143066,-9.706385900663768,-9.858731975280385
190,0.143819,-10.16415655756466,-10.04623483634699
191,0.144573,-10.147310597390707,-10.06674296177615
192,0.145325,-10.05136186770428,-9.706385900663768
193,0.146076,-9.795010299839781,-9.972991531242847
194,0.146829,-10.302586404211489,-9.764248111696041
195,0.147581,-10.044769970244907,-9.970061799038682
196,0.148334,-10.060151064316777,-10.104097047379263
197,0.149087,-10.21103227283131,-10.002288853284504
198,0.14984,-10.228610666056305,-10.474708171206224
199,0.150593,-9.756191348134585,-9.734950789654384
200,0.151345,-10.22128633554589,-10.055756466010529
201,0.152097,-9.999359121080339,-9.992034790569924
202,0.15285,-9.934172579537652,-10.187594415197985
203,0.153603,-10.069672693980316,-9.669764248111697
204,0.154356,-10.153170061799038,-10.00009155413138
205,0.155109,-9.912199588006409,-9.718104829480431
206,0.155862,-10.276951247425039,-9.633875028610667
207,0.156615,-9.904875257495995,-9.90267795834287
208,0.157367,-9.989105058365759,-9.921721217669948
209,0.15812,-10.026459143968872,-9.937834744792859
210,0.158873,-9.9898374914168,-9.744472419317923
211,0.159626,-9.904875257495995,-9.652185854886703
212,0.160379,-10.22128633554589,-9.827237354085604
213,0.161132,-9.811856260013734,-9.926115815976196
214,0.161884,-9.945891508354315,-9.550377660791945
215,0.162638,-10.042572671091783,-9.849942778667888
216,0.16339,-9.759853513389793,-9.855069810025178
217,0.164143,-9.80965896086061,-9.617029068436715
218,0.164895,-10.060151064316777,-9.75838864728771
219,0.165648,-10.25131609063859,-9.746669718471047
220,0.166402,-9.899748226138705,-9.724696726939804
221,0.167155,-9.904875257495995,-9.648523689631496
222,0.167907,-9.770107576104373,-9.954680704966812
223,0.16866,-10.068940260929274,-9.6609750514992
224,0.169413,-10.027924010070954,-9.829434653238728
225,0.170166,-10.137056534676127,-10.026459143968872
226,0.170919,-9.720302128633556,-10.13852140077821
227,0.171671,-9.952483405813688,-9.759853513389793
228,0.172423,-9.956878004119936,-9.746669718471047
229,0.17318,-9.975921263447013,-9.870450904097048
230,0.173933,-9.777431906614787,-9.85580224307622
231,0.174686,-10.087983520256351,-9.84115358205539
232,0.17544,-9.978850995651179,-9.911467154955368
233,0.176196,-9.790615701533532,-9.779629205767911
234,0.176949,-10.05648889906157,-9.930510414282445
235,0.177706,-10.074067292286564,-10.035248340581369
236,0.17846,-9.978850995651179,-9.977386129549096
237,0.179214,-9.848477912565805,-9.838223849851225
238,0.179966,-9.657312886243993,-9.783291371023118
239,0.180719,-9.978118562600137,-9.985442893110552
240,0.181472,-10.009613183794919,-9.790615701533532
241,0.182223,-9.972259098191806,-9.978118562600137
242,0.182976,-10.072602426184481,-9.841886015106432
243,0.183729,-9.94369420920119,-9.94882124055848
244,0.184482,-9.97445639734493,-10.065278095674067
245,0.185234,-10.060883497367819,-9.906340123598078
246,0.185988,-9.875577935454338,-10.104097047379263
247,0.186742,-9.996429388876173,-9.997894254978256
248,0.187496,-10.120943007553215,-9.857267109178302
249,0.188249,-10.021332112611582,-9.694666971847106
250,0.189002,-10.030121309224079,-10.048432135500114
251,0.189756,-9.901213092240788,-9.822110322728314
252,0.190508,-9.792813000686657,-10.129732204165713
253,0.191262,-9.680018310826277,-9.849210345616846
254,0.192014,-9.890226596475166,-9.745937285420005
255,0.192766,-9.755458915083544,-9.924650949874113
256,0.193518,-10.081391622796978,-9.562829022659649
257,0.194272,-9.793545433737698,-10.048432135500114
258,0.195024,-9.867521171892882,-10.23666742961776
259,0.195778,-9.800869764248112,-9.905607690547036
260,0.196529,-10.24106202792401,-9.904142824444953
261,0.197282,-10.088715953307393,-9.63533989471275
262,0.198035,-9.904142824444953,-10.011810482948043
263,0.198789,-9.981780727855345,-9.909269855802243
264,0.199541,-10.049164568551156,-9.977386129549096
265,0.200294,-10.098970016021973,-9.852872510872054
266,0.201048,-10.05136186770428,-10.105561913481345
267,0.201802,-10.098970016021973,-9.704921034561686
268,0.202554,-9.852872510872054,-9.986907759212635
269,0.203307,-9.965667200732433,-9.662439917601283
270,0.20406,-9.964934767681392,-9.691004806591899
271,0.204814,-10.045502403295949,-9.894621194781415
272,0.205565,-9.952483405813688,-9.72249942778668
273,0.206318,-9.901213092240788,-9.841886015106432
274,0.20707,-9.956145571068895,-9.80965896086061
275,0.207822,-10.02572671091783,-9.71737239642939
276,0.208574,-9.970061799038682,-9.721766994735638
277,0.209328,-10.077729457541771,-10.014740215152209
278,0.210082,-10.099702449073014,-9.735683222705426
279,0.210834,-9.97958342870222,-9.87118333714809
280,0.211588,-10.20004577706569,-10.278416113527122
281,0.212341,-10.090180819409476,-9.904875257495995
282,0.213093,-10.0411078049897,-10.134859235523002
283,0.213846,-9.910734721904326,-9.61995880064088
284,0.214599,-10.08212405584802,-10.142915999084458
285,0.215351,-10.11801327534905,-9.630945296406502
286,0.216105,-9.967132066834516,-10.110688944838635
287,0.216859,-10.115083543144884,-10.005951018539712
288,0.217612,-9.820645456626231,-9.91805905241474
289,0.218364,-9.603845273517969,-10.018402380407416
290,0.219117,-9.8147859922179,-10.008880750743877
291,0.21987,-10.003753719386587,-10.115083543144884
292,0.220623,-9.895353627832456,-9.911467154955368
293,0.221376,-9.96420233463035,-9.929045548180362
294,0.22213,-9.967132066834516,-9.841886015106432
295,0.222881,-10.160494392309452,-9.821377889677272
296,0.223633,-9.912199588006409,-9.854337376974136
297,0.224386,-9.95394827191577,-10.033051041428244
298,0.22514,-9.980315861753262,-9.849942778667888
299,0.225893,-10.019134813458457,-9.53792629892424
300,0.226645,-9.810391393911651,-9.622156099794005
301,0.227399,-9.951018539711605,-9.65584802014191
302,0.228155,-10.052826733806363,-9.922453650720989
303,0.228907,-9.91805905241474,-10.004486152437629
304,0.22966,-9.927580682078279,-9.934172579537652
305,0.230412,-9.760585946440834,-9.96932936598764
306,0.231167,-9.939299610894942,-10.145113298237582
307,0.23192,-9.936369878690776,-9.940764476997025
308,0.232671,-10.033051041428244,-9.87631036850538
309,0.233424,-9.700526436255437,-9.915861753261616
310,0.234181,-10.110688944838635,-9.738612954909591
311,0.234933,-9.838223849851225,-9.960540169375143
312,0.235686,-10.024994277866789,-10.019867246509499
313,0.23644,-10.13852140077821,-10.197116044861524
314,0.237198,-9.975921263447013,-9.828702220187687
315,0.237951,-10.15902952620737,-9.820645456626231
316,0.238708,-9.848477912565805,-9.901213092240788
317,0.239461,-9.826504921034562,-9.80965896086061
318,0.240215,-9.899748226138705,-9.790615701533532
319,0.240967,-10.029388876173037,-9.613366903181507
320,0.241719,-9.976653696498055,-10.01034561684596
321,0.242472,-9.792080567635615,-9.90780498970016
322,0.243225,-10.168551155870908,-10.320897230487525
323,0.243979,-9.742275120164798,-9.842618448157474
324,0.244731,-9.750331883726254,-9.774502174410621
325,0.245485,-9.628015564202336,-10.126802471961547
326,0.246238,-9.930510414282445,-9.901213092240788
327,0.246992,-10.125337605859464,-9.769375143053331
328,0.247746,-10.002288853284504,-9.929777981231403
329,0.248497,-9.982513160906386,-9.952483405813688
330,0.249249,-9.824307621881438,-9.975921263447013
331,0.250001,-9.85067521171893,-10.066010528725108
332,0.250754,-9.992034790569924,-9.85580224307622
333,0.251507,-9.985442893110552,-9.935637445639735
334,0.252259,-10.113618677042801,-9.95394827191577
335,0.253012,-9.823575188830397,-9.770840009155414
336,0.253766,-9.855069810025178,-9.795742732890822
337,0.254518,-9.816250858319982,-9.8147859922179
338,0.25527,-9.828702220187687,-9.87704280155642
339,0.256022,-9.674158846417946,-10.039642938887617
340,0.256775,-9.87631036850538,-9.922453650720989
341,0.257528,-10.142183566033417,-9.692469672693981
342,0.25828,-9.87191577019913,-9.699061570153354
343,0.259032,-10.05648889906157,-10.095307850766766
344,0.259786,-9.885099565117876,-9.844083314259557
345,0.260538,-10.057221332112611,-9.962737468528267
346,0.261292,-10.15902952620737,-9.926848249027238
347,0.262045,-10.172945754177157,-10.060883497367819
348,0.262797,-10.038178072785534,-9.904875257495995
349,0.26355,-9.920256351567865,-9.82504005493248
350,0.264302,-10.075532158388647,-9.912199588006409
351,0.265056,-10.065278095674067,-10.20517280842298
352,0.265809,-9.86092927443351,-9.879972533760586
353,0.266561,-9.90707255664912,-9.859464408331426
354,0.267315,-10.142915999084458,-9.864591439688716
355,0.268069,-9.75326161593042,-9.73788052185855
356,0.268822,-10.006683451590753,-9.692469672693981
357,0.269575,-10.12314030670634,-9.813321126115817
358,0.270328,-9.935637445639735,-10.077729457541771
