Output Factor
Date and time: 2026-04-03_12-05-35
Description: {}
ACR used: 1.1
Rank used: 1
Integration time: 253 us
Number,Time,ch0,ch1
10,0.002782,-11.370473792629891,-11.341176470588234
11,0.003035,-11.434195468070495,-11.461295490959028
12,0.003289,-11.34923323414969,-11.281116960402837
13,0.003541,-11.1902952620737,-11.398306248569465
14,0.003793,-11.449576562142365,-11.295033188372624
15,0.004046,-11.289173723964293,-11.393179217212175
16,0.004299,-11.335317006179903,-11.29796292057679
17,0.004552,-11.428336003662164,-11.401968413824672
18,0.004805,-11.471549553673608,-11.257679102769512
19,0.005057,-11.46202792401007,-11.207141222247653
20,0.005311,-11.419546807049667,-11.325795376516364
21,0.005564,-11.316273746852826,-11.206408789196612
22,0.005818,-11.465690089265276,-11.343373769741358
23,0.00607,-11.381460288395512,-11.392446784161134
24,0.006323,-11.33897917143511,-11.389517051956968
25,0.006577,-11.398306248569465,-11.319935912108033
26,0.006831,-11.414419775692377,-11.141954680704966
27,0.007083,-11.322133211261157,-11.297230487525749
28,0.007335,-11.416617074845501,-11.336049439230944
29,0.007588,-11.320668345159074,-11.334584573128861
30,0.007842,-11.28770885786221,-11.286976424811169
31,0.008093,-11.423941405355915,-11.315541313801784
32,0.008346,-11.460563057907986,-11.262806134126802
33,0.0086,-11.378530556191347,-11.230579079880979
34,0.008853,-11.330922407873654,-11.459830624856945
35,0.009105,-11.489127946898602,-11.34923323414969
36,0.009359,-11.434927901121537,-11.21080338750286
37,0.009613,-11.32872510872053,-11.374135957885098
38,0.009865,-11.407827878233004,-11.362417029068435
39,0.010118,-11.396108949416341,-11.332387273975737
40,0.010371,-11.309681849393453,-11.415152208743418
41,0.010625,-11.49352254520485,-11.322133211261157
42,0.010879,-11.308949416342411,-11.251087205310139
43,0.011131,-11.424673838406957,-11.187365529869535
44,0.011383,-11.474479285877774,-11.322865644312198
45,0.011636,-11.387319752803844,-11.184435797665369
46,0.011889,-11.27232776379034,-11.417349507896542
47,0.012142,-11.422476539253832,-11.516227969787138
48,0.012394,-11.300160219729914,-11.251087205310139
49,0.012647,-11.421744106202791,-11.221789883268482
50,0.012899,-11.399038681620507,-11.360952162966353
51,0.013151,-11.43126573586633,-11.358022430762187
52,0.013403,-11.47228198672465,-11.276722362096589
53,0.013657,-11.398306248569465,-11.470084687571525
54,0.013909,-11.370473792629891,-11.140489814602883
55,0.014163,-11.342641336690317,-11.391714351110092
56,0.014415,-11.424673838406957,-11.371206225680933
57,0.014668,-11.304554818036163,-11.230579079880979
58,0.014922,-11.240100709544517,-11.295033188372624
59,0.015174,-11.28770885786221,-11.275257495994506
60,0.015427,-11.35436026550698,-11.357289997711145
61,0.01568,-11.295765621423666,-11.291371023117417
62,0.015933,-11.44225223163195,-11.229846646829937
63,0.016186,-11.409292744335087,-11.445181963836117
64,0.016437,-11.4466468299382,-11.361684596017394
65,0.016691,-11.408560311284045,-11.292103456168459
66,0.016945,-11.466422522316318,-11.23131151293202
67,0.017197,-11.373403524834057,-11.357289997711145
68,0.01745,-11.423941405355915,-11.212268253604943
69,0.017703,-11.420279240100708,-11.340444037537193
70,0.017956,-11.417349507896542,-11.443717097734034
71,0.01821,-11.38512245365072,-11.192492561226825
72,0.018463,-11.380727855344471,-11.39024948500801
73,0.018714,-11.240100709544517,-11.271595330739299
74,0.018966,-11.296498054474707,-11.26207370107576
75,0.019224,-11.415152208743418,-11.494254978255892
76,0.019476,-11.301625085831997,-11.392446784161134
77,0.019729,-11.35436026550698,-11.203479056992446
78,0.019982,-11.36461432822156,-11.275257495994506
79,0.020238,-11.392446784161134,-11.286976424811169
80,0.02049,-11.363881895170518,-11.46202792401007
81,0.020747,-11.398306248569465,-11.343373769741358
82,0.021,-11.497184710460058,-11.292103456168459
83,0.021252,-11.341176470588234,-11.152941176470588
84,0.021505,-11.401968413824672,-11.360952162966353
85,0.021758,-11.373403524834057,-11.340444037537193
86,0.02201,-11.215197985809109,-11.326527809567406
87,0.022264,-11.248889906157014,-11.235706111238269
88,0.022518,-11.320668345159074,-11.368276493476767
89,0.02277,-11.342641336690317,-11.410025177386128
90,0.023022,-11.299427786678873,-11.344838635843441
91,0.023275,-11.46276035706111,-11.284779125658044
92,0.023528,-11.375600823987181,-11.492057679102768
93,0.02378,-11.253284504463263,-11.229114213778896
94,0.024034,-11.44225223163195,-11.46276035706111
95,0.024287,-11.379262989242388,-11.322133211261157
96,0.024539,-11.294300755321583,-11.12364385442893
97,0.024793,-11.35948729686427,-11.141954680704966
98,0.025045,-11.388052185854885,-11.232043945983062
99,0.025299,-11.346303501945524,-11.392446784161134
100,0.025552,-11.417349507896542,-11.306019684138246
101,0.025804,-11.347768368047607,-11.30308995193408
102,0.026058,-11.475211718928815,-11.295033188372624
103,0.026311,-11.396108949416341,-11.34923323414969
104,0.026563,-11.355825131609063,-11.353627832455938
105,0.026817,-11.315541313801784,-11.300160219729914
106,0.02707,-11.36974135957885,-11.232043945983062
107,0.027324,-11.586541542687115,-11.126573586633096
108,0.027577,-11.470084687571525,-11.258411535820553
109,0.027831,-11.273060196841381,-11.389517051956968
110,0.028084,-11.278187228198671,-11.237903410391393
111,0.028337,-11.480338750286105,-11.247425040054932
112,0.028591,-11.356557564660104,-11.215197985809109
113,0.028844,-11.425406271457998,-11.196887159533073
114,0.029098,-11.280384527351796,-11.413687342641335
115,0.029349,-11.292103456168459,-11.409292744335087
116,0.029603,-11.378530556191347,-11.371938658731974
117,0.029857,-11.37999542229343,-11.45690089265278
118,0.03011,-11.399038681620507,-11.221789883268482
119,0.030362,-11.41075761043717,-11.360219729915311
120,0.030615,-11.356557564660104,-11.25694666971847
121,0.030868,-11.384390020599678,-11.326527809567406
122,0.031121,-11.346303501945524,-11.337514305333027
123,0.031375,-11.363149462119477,-11.484000915541312
124,0.031629,-11.389517051956968,-11.314808880750743
125,0.03188,-11.351430533302814,-11.356557564660104
126,0.032134,-11.226916914625772,-11.285511558709086
127,0.032385,-11.424673838406957,-11.345571068894483
128,0.032639,-11.41075761043717,-11.270130464637216
129,0.032892,-11.284046692607003,-11.2928358892195
130,0.033144,-11.248889906157014,-11.383657587548637
131,0.033395,-11.34923323414969,-11.259143968871594
132,0.033648,-11.370473792629891,-11.286243991760127
133,0.033901,-11.307484550240329,-11.259143968871594
134,0.034155,-11.412222476539252,-11.31334401464866
