Output Factor
Date and time: 2026-04-03_10-51-05
Description: {}
ACR used: 1.1
Rank used: 1
Integration time: 752 us
Number,Time,ch0,ch1
267,0.201813,-10.118745708400091,-9.921721217669948
268,0.202565,-10.09750514991989,-10.022064545662623
269,0.203319,-9.9898374914168,-9.81991302357519
270,0.204073,-10.163424124513618,-10.192721446555275
271,0.204826,-9.857999542229344,-9.995696955825132
272,0.205579,-10.038910505836576,-9.960540169375143
273,0.206332,-9.98471046005951,-10.00521858548867
274,0.207085,-10.309178301670862,-9.615564202334632
275,0.207837,-10.019867246509499,-9.751796749828337
276,0.208589,-10.071137560082398,-9.94882124055848
277,0.209342,-10.033051041428244,-9.87118333714809
278,0.210096,-9.762783245593958,-10.187594415197985
279,0.21085,-10.120943007553215,-9.83089951934081
280,0.211604,-10.011810482948043,-10.208102540627145
281,0.212357,-10.1949187457084,-10.006683451590753
282,0.21311,-9.94882124055848,-9.926115815976196
283,0.213861,-10.284275577935453,-9.889494163424125
284,0.214615,-9.694666971847106,-9.787685969329367
285,0.215369,-10.108491645685511,-9.729823758297094
286,0.21612,-9.963469901579309,-10.166353856717784
287,0.216872,-10.161959258411535,-9.827237354085604
288,0.217624,-9.918791485465782,-9.952483405813688
289,0.218378,-9.960540169375143,-9.833096818493935
290,0.219131,-10.126070038910505,-9.729091325246053
291,0.219885,-10.134859235523002,-9.829434653238728
292,0.220637,-9.914396887159533,-9.905607690547036
293,0.22139,-10.16928358892195,-10.01034561684596
294,0.222142,-10.131197070267795,-9.879240100709545
295,0.222894,-10.341405355916685,-9.949553673609522
296,0.223647,-9.896086060883498,-9.92318608377203
297,0.224401,-10.07186999313344,-9.783291371023118
298,0.225155,-10.0923781185626,-9.942961776150149
299,0.225908,-9.961272602426185,-9.74300755321584
300,0.226661,-10.19565117875944,-10.199313344014648
301,0.227415,-10.123872739757381,-10.281345845731288
302,0.228168,-9.957610437170977,-10.022796978713664
303,0.228921,-10.331883726253146,-9.888029297322042
304,0.229675,-9.992034790569924,-9.864591439688716
305,0.230429,-10.050629434653239,-9.831631952391852
306,0.231183,-9.85653467612726,-9.75838864728771
307,0.231936,-10.036713206683451,-10.161959258411535
308,0.232688,-10.16928358892195,-9.909269855802243
309,0.233441,-10.048432135500114,-9.991302357518883
310,0.234194,-10.080659189745937,-9.929045548180362
311,0.234946,-9.89681849393454,-9.929045548180362
312,0.235699,-9.831631952391852,-10.316502632181276
313,0.236452,-9.975921263447013,-9.880704966811628
314,0.237204,-10.00521858548867,-10.067475394827191
315,0.237956,-9.837491416800184,-10.182467383840695
316,0.23871,-10.001556420233463,-9.842618448157474
317,0.239464,-10.130464637216754,-9.961272602426185
318,0.24022,-10.131929503318837,-9.770840009155414
