Output Factor
Date and time: 2026-04-03_12-03-42
Description: {}
ACR used: 1.1
Rank used: 1
Integration time: 254 us
Number,Time,ch0,ch1
10,0.002784,-11.401968413824672,-11.470084687571525
11,0.003036,-11.248889906157014,-11.420279240100708
12,0.003289,-11.346303501945524,-11.420279240100708
13,0.003543,-11.255481803616387,-11.491325246051726
14,0.003796,-11.370473792629891,-11.357289997711145
15,0.004048,-11.448111696040282,-11.265003433279926
16,0.004302,-11.300160219729914,-11.325795376516364
17,0.004555,-11.390981918059051,-11.352895399404897
18,0.004808,-11.433463035019454,-11.38512245365072
19,0.00506,-11.288441290913251,-11.327260242618447
20,0.005312,-11.295765621423666,-11.202014190890363
21,0.005565,-11.415152208743418,-11.415152208743418
22,0.005818,-11.234973678187227,-11.232043945983062
23,0.00607,-11.270130464637216,-11.478873884184022
24,0.006323,-11.475944151979856,-11.237170977340352
25,0.006576,-11.347768368047607,-11.25181963836118
26,0.006829,-11.380727855344471,-11.355092698558021
27,0.007086,-11.417349507896542,-11.330922407873654
28,0.00734,-11.399771114671548,-11.41588464179446
29,0.007593,-11.237903410391393,-11.32872510872053
30,0.007846,-11.341176470588234,-11.489127946898602
31,0.008098,-11.402700846875714,-11.280384527351796
32,0.008351,-11.373403524834057,-11.245960173952849
33,0.008604,-11.372671091783015,-11.319203479056991
34,0.008857,-11.37486839093614,-11.42101167315175
35,0.009115,-11.31847104600595,-11.119981689173724
36,0.009369,-11.387319752803844,-11.158800640878919
37,0.009622,-11.347768368047607,-11.289906157015334
38,0.009875,-11.31334401464866,-11.219592584115357
39,0.010133,-11.337514305333027,-11.418814373998625
40,0.010386,-11.386587319752802,-11.337514305333027
41,0.01064,-11.271595330739299,-11.366811627374684
42,0.010894,-11.30308995193408,-11.188097962920576
43,0.011147,-11.336049439230944,-11.197619592584115
44,0.011401,-11.365346761272601,-11.127306019684138
45,0.011655,-11.404165712977797,-11.229846646829937
46,0.011907,-11.257679102769512,-11.26207370107576
47,0.01216,-11.37999542229343,-11.254016937514304
48,0.012413,-11.371206225680933,-11.296498054474707
49,0.012665,-11.233508812085145,-11.288441290913251
50,0.012918,-11.371206225680933,-11.232043945983062
51,0.01317,-11.261341268024719,-11.358754863813228
52,0.013423,-11.388052185854885,-11.478873884184022
53,0.013676,-11.381460288395512,-11.362417029068435
54,0.013929,-11.369008926527808,-11.504509040970476
55,0.014182,-11.418081940947584,-11.32872510872053
56,0.014434,-11.419546807049667,-11.276722362096589
57,0.014686,-11.232776379034103,-11.286243991760127
58,0.014938,-11.284046692607003,-11.270130464637216
59,0.01519,-11.271595330739299,-11.341176470588234
60,0.015444,-11.386587319752802,-11.397573815518424
61,0.015696,-11.263538567177843,-11.406363012130921
62,0.015949,-11.357289997711145,-11.469352254520484
63,0.016201,-11.404165712977797,-11.380727855344471
64,0.016454,-11.324330510414281,-11.377798123140305
65,0.016706,-11.325062943465323,-11.275257495994506
66,0.016959,-11.47740901808194,-11.391714351110092
67,0.017212,-11.355825131609063,-11.343373769741358
68,0.017465,-11.286243991760127,-11.47301441977569
69,0.017717,-11.303822384985121,-11.349965667200731
70,0.017969,-11.432730601968412,-11.442984664682992
71,0.018223,-11.284779125658044,-11.40050354772259
72,0.018477,-11.368276493476767,-11.261341268024719
73,0.018731,-11.357289997711145,-11.252552071412222
74,0.018984,-11.223987182421606,-11.496452277409016
75,0.019238,-11.294300755321583,-11.371206225680933
76,0.019491,-11.387319752803844,-11.223987182421606
77,0.019744,-11.270862897688257,-11.350698100251773
78,0.019997,-11.383657587548637,-11.24669260700389
79,0.020251,-11.394644083314258,-11.380727855344471
80,0.020503,-11.464225223163194,-11.315541313801784
81,0.020755,-11.245227740901807,-11.235706111238269
82,0.021006,-11.41588464179446,-11.182970931563286
83,0.02126,-11.365346761272601,-11.32872510872053
84,0.021514,-11.379262989242388,-11.259143968871594
85,0.021767,-11.38512245365072,-11.253284504463263
86,0.022018,-11.32359807736324,-11.404898146028838
87,0.022271,-11.3441062027924,-11.388784618905927
88,0.022524,-11.281116960402837,-11.162462806134126
89,0.022776,-11.312611581597618,-11.219592584115357
90,0.023029,-11.566765850308997,-11.312611581597618
91,0.023282,-11.378530556191347,-11.355092698558021
92,0.023536,-11.240833142595559,-11.316273746852826
93,0.02379,-11.42687113756008,-11.209338521400777
94,0.024042,-11.266468299382009,-11.305287251087204
95,0.024295,-11.336781872281986,-11.119249256122682
96,0.024549,-11.340444037537193,-11.275257495994506
97,0.024802,-11.376333257038223,-11.418814373998625
98,0.025054,-11.451041428244448,-11.336781872281986
99,0.025308,-11.445914396887158,-11.519890135042345
100,0.025561,-11.339711604486151,-11.517692835889221
101,0.025815,-11.375600823987181,-11.48253604943923
102,0.026069,-11.45763332570382,-11.332387273975737
103,0.026322,-11.379262989242388,-11.327260242618447
104,0.026575,-11.45763332570382,-11.27232776379034
105,0.026828,-11.459830624856945,-11.429068436713205
106,0.027085,-11.47228198672465,-11.232043945983062
107,0.027338,-11.325062943465323,-11.248157473105973
108,0.02759,-11.346303501945524,-11.283314259555961
109,0.027843,-11.516227969787138,-11.4979171435111
110,0.028098,-11.401235980773631,-11.155138475623712
111,0.028352,-11.375600823987181,-11.312611581597618
112,0.028605,-11.402700846875714,-11.248889906157014
113,0.028857,-11.356557564660104,-11.418081940947584
114,0.029113,-11.311146715495536,-11.341908903639276
115,0.029367,-11.368276493476767,-11.257679102769512
116,0.029621,-11.402700846875714,-11.33385214007782
117,0.029875,-11.280384527351796,-11.317006179903867
118,0.030133,-11.34923323414969,-11.276722362096589
119,0.030386,-11.378530556191347,-11.216662851911192
120,0.030639,-11.25694666971847,-11.307484550240329
121,0.030893,-11.466422522316318,-11.307484550240329
122,0.031146,-11.358022430762187,-11.497184710460058
123,0.0314,-11.343373769741358,-11.227649347676813
124,0.031651,-11.4466468299382,-11.319935912108033
125,0.031903,-11.424673838406957,-11.284046692607003
126,0.032156,-11.32872510872053,-11.416617074845501
127,0.032409,-11.417349507896542,-11.346303501945524
128,0.032662,-11.362417029068435,-11.383657587548637
129,0.032915,-11.449576562142365,-11.451041428244448
130,0.033167,-11.274525062943464,-11.363149462119477
131,0.033419,-11.427603570611122,-11.330189974822613
132,0.033673,-11.47740901808194,-11.243762874799724
133,0.033926,-11.373403524834057,-11.299427786678873
134,0.034178,-11.525017166399635,-11.156603341725795
135,0.034431,-11.367544060425725,-11.255481803616387
136,0.034684,-11.264271000228884,-11.355092698558021
137,0.034937,-11.489127946898602,-11.300160219729914
138,0.035191,-11.358022430762187,-11.32359807736324
139,0.035444,-11.481803616388188,-11.325795376516364
140,0.035698,-11.298695353627831,-11.377798123140305
141,0.035952,-11.398306248569465,-11.192492561226825
142,0.036205,-11.434927901121537,-11.381460288395512
143,0.036457,-11.418814373998625,-11.227649347676813
144,0.036709,-11.340444037537193,-11.26720073243305
145,0.03696,-11.327992675669488,-11.412222476539252
146,0.037213,-11.347768368047607,-11.341176470588234
147,0.037464,-11.358754863813228,-11.155138475623712
148,0.037717,-11.361684596017394,-11.300160219729914
149,0.03797,-11.320668345159074,-11.366811627374684
150,0.038224,-11.352895399404897,-11.324330510414281
151,0.038477,-11.377065690089264,-11.42613870450904
152,0.038729,-11.218860151064316,-11.284779125658044
153,0.038981,-11.48839551384756,-11.353627832455938
