Output Factor
Date and time: 2026-04-03_12-06-40
Description: {}
ACR used: 1.1
Rank used: 1
Integration time: 254 us
Number,Time,ch0,ch1
10,0.002792,-11.50157930876631,-11.295765621423666
11,0.003046,-11.240833142595559,-11.257679102769512
12,0.003299,-11.464957656214235,-11.325795376516364
13,0.003553,-11.300892652780956,-11.234973678187227
14,0.003806,-11.399038681620507,-11.271595330739299
15,0.00406,-11.341176470588234,-11.466422522316318
16,0.004312,-11.376333257038223,-11.368276493476767
17,0.004564,-11.327260242618447,-11.274525062943464
18,0.004817,-11.281116960402837,-11.322133211261157
19,0.00507,-11.347768368047607,-11.160997940032043
20,0.005322,-11.393911650263217,-11.358754863813228
21,0.005574,-11.412954909590294,-11.407827878233004
22,0.005827,-11.267933165484092,-11.358754863813228
23,0.006081,-11.33897917143511,-11.309681849393453
24,0.006334,-11.37999542229343,-11.194689860379949
25,0.006588,-11.396108949416341,-11.191027695124742
26,0.00684,-11.355092698558021,-11.276722362096589
27,0.007093,-11.378530556191347,-11.393911650263217
28,0.007346,-11.302357518883039,-11.31847104600595
29,0.007597,-11.234241245136186,-11.332387273975737
30,0.007851,-11.259876401922636,-11.316273746852826
31,0.008105,-11.406363012130921,-11.331654840924696
32,0.008358,-11.38512245365072,-11.23643854428931
33,0.00861,-11.397573815518424,-11.40563057907988
34,0.008862,-11.325795376516364,-11.29796292057679
35,0.009114,-11.335317006179903,-11.442984664682992
36,0.009368,-11.401968413824672,-11.438590066376744
37,0.009622,-11.43126573586633,-11.349965667200731
38,0.009875,-11.306752117189287,-11.232043945983062
39,0.010127,-11.260608834973677,-11.404165712977797
40,0.01038,-11.225452048523689,-11.388784618905927
41,0.010634,-11.411490043488211,-11.407095445181962
42,0.010888,-11.475944151979856,-11.292103456168459
43,0.01114,-11.470817120622566,-11.330189974822613
44,0.011394,-11.466422522316318,-11.40050354772259
45,0.011647,-11.317006179903867,-11.448844129091324
46,0.0119,-11.347035934996565,-11.417349507896542
47,0.012152,-11.4678873884184,-11.194689860379949
48,0.012405,-11.434927901121537,-11.322865644312198
49,0.012658,-11.283314259555961,-11.39024948500801
50,0.01291,-11.288441290913251,-11.25181963836118
51,0.013162,-11.3953765163653,-11.291371023117417
52,0.013415,-11.374135957885098,-11.283314259555961
53,0.013668,-11.362417029068435,-11.314076447699701
54,0.013921,-11.314076447699701,-11.355825131609063
55,0.014174,-11.47228198672465,-11.202014190890363
56,0.014426,-11.325062943465323,-11.425406271457998
57,0.014678,-11.350698100251773,-11.245960173952849
58,0.014932,-11.2928358892195,-11.27745479514763
59,0.015185,-11.352162966353855,-11.199084458686198
60,0.015438,-11.357289997711145,-11.316273746852826
61,0.015691,-11.391714351110092,-11.310414282444494
62,0.015945,-11.4466468299382,-11.307484550240329
63,0.016197,-11.28258182650492,-11.33385214007782
64,0.01645,-11.416617074845501,-11.243030441748683
65,0.016702,-11.308949416342411,-11.223254749370565
66,0.016955,-11.290638590066376,-11.31847104600595
67,0.017208,-11.388784618905927,-11.237903410391393
68,0.017459,-11.335317006179903,-11.377798123140305
69,0.017712,-11.366811627374684,-11.21080338750286
70,0.017965,-11.338246738384068,-11.370473792629891
71,0.018218,-11.351430533302814,-11.279652094300754
72,0.018471,-11.308949416342411,-11.260608834973677
73,0.018724,-11.399771114671548,-11.228381780727855
74,0.018978,-11.429068436713205,-11.162462806134126
75,0.01923,-11.372671091783015,-11.234241245136186
76,0.019482,-11.324330510414281,-11.273792629892423
77,0.019735,-11.475944151979856,-11.361684596017394
78,0.019988,-11.352162966353855,-11.417349507896542
79,0.020241,-11.40563057907988,-11.224719615472647
80,0.020495,-11.363149462119477,-11.382192721446554
81,0.020749,-11.375600823987181,-11.329457541771571
82,0.021006,-11.360219729915311,-11.300892652780956
83,0.021259,-11.337514305333027,-11.36461432822156
84,0.021513,-11.321400778210116,-11.170519569695582
85,0.021766,-11.259876401922636,-11.330189974822613
86,0.022022,-11.361684596017394,-11.225452048523689
87,0.022276,-11.321400778210116,-11.152208743419546
88,0.022529,-11.43126573586633,-11.294300755321583
89,0.022781,-11.297230487525749,-11.416617074845501
90,0.023035,-11.424673838406957,-11.266468299382009
91,0.023288,-11.398306248569465,-11.254016937514304
92,0.023541,-11.254016937514304,-11.238635843442434
93,0.023793,-11.35436026550698,-11.23643854428931
94,0.024046,-11.338246738384068,-11.125108720531014
95,0.024298,-11.427603570611122,-11.544792858777754
96,0.02455,-11.289906157015334,-11.397573815518424
97,0.024804,-11.244495307850766,-11.402700846875714
98,0.025057,-11.25181963836118,-11.210070954451819
99,0.025309,-11.366079194323643,-11.258411535820553
100,0.025562,-11.453971160448614,-11.26207370107576
101,0.025816,-11.381460288395512,-11.235706111238269
102,0.026067,-11.27745479514763,-11.366811627374684
103,0.02632,-11.401968413824672,-11.353627832455938
104,0.026573,-11.386587319752802,-11.265735866330967
105,0.026826,-11.238635843442434,-11.540398260471505
106,0.027079,-11.393179217212175,-11.379262989242388
107,0.027333,-11.32359807736324,-11.464225223163194
108,0.027586,-11.360219729915311,-11.399771114671548
109,0.02784,-11.15367360952163,-11.280384527351796
110,0.028094,-11.413687342641335,-11.270130464637216
111,0.028348,-11.320668345159074,-11.293568322270541
112,0.028602,-11.331654840924696,-11.100205996795605
113,0.028855,-11.289173723964293,-11.232043945983062
114,0.029108,-11.308949416342411,-11.330922407873654
115,0.029362,-11.430533302815288,-11.316273746852826
116,0.029616,-11.375600823987181,-11.217395284962233
117,0.029868,-11.358754863813228,-11.424673838406957
118,0.030122,-11.344838635843441,-11.351430533302814
119,0.030376,-11.430533302815288,-11.362417029068435
120,0.030628,-11.421744106202791,-11.348500801098648
121,0.030881,-11.385854886701761,-11.217395284962233
122,0.031135,-11.199084458686198,-11.490592813000685
123,0.031389,-11.401968413824672,-11.276722362096589
124,0.031641,-11.297230487525749,-11.30308995193408
125,0.031895,-11.387319752803844,-11.265003433279926
126,0.032148,-11.29796292057679,-11.336781872281986
127,0.032401,-11.47740901808194,-11.347035934996565
128,0.032655,-11.524284733348594,-11.245960173952849
129,0.032907,-11.37486839093614,-11.339711604486151
130,0.03316,-11.448844129091324,-11.317006179903867
