Output Factor
Date and time: 2026-04-03_12-05-50
Description: {}
ACR used: 1.1
Rank used: 1
Integration time: 253 us
Number,Time,ch0,ch1
10,0.002778,-11.317006179903867,-11.305287251087204
11,0.00303,-11.341176470588234,-11.222522316319523
12,0.003284,-11.382192721446554,-11.433463035019454
13,0.003536,-11.384390020599678,-11.234241245136186
14,0.00379,-11.295033188372624,-11.229846646829937
15,0.004042,-11.43199816891737,-11.247425040054932
16,0.004294,-11.470817120622566,-11.286243991760127
17,0.004547,-11.425406271457998,-11.292103456168459
18,0.004801,-11.378530556191347,-11.122178988326848
19,0.005053,-11.356557564660104,-11.237170977340352
20,0.005307,-11.407827878233004,-11.265003433279926
21,0.005561,-11.240100709544517,-11.310414282444494
22,0.005814,-11.382192721446554,-11.275989929045547
23,0.006067,-11.317006179903867,-11.399771114671548
24,0.006319,-11.268665598535133,-11.286243991760127
25,0.006572,-11.411490043488211,-11.274525062943464
26,0.006825,-11.451041428244448,-11.416617074845501
27,0.007079,-11.463492790112152,-11.481803616388188
28,0.007332,-11.43712520027466,-11.376333257038223
29,0.007585,-11.33897917143511,-11.233508812085145
30,0.007838,-11.37486839093614,-11.371938658731974
31,0.008092,-11.347768368047607,-11.242298008697642
32,0.008346,-11.421744106202791,-11.322865644312198
33,0.008599,-11.363881895170518,-11.206408789196612
34,0.008853,-11.396108949416341,-11.15953307392996
35,0.009106,-11.325795376516364,-11.366811627374684
36,0.009359,-11.2928358892195,-11.239368276493476
37,0.009612,-11.331654840924696,-11.137560082398718
38,0.009865,-11.362417029068435,-11.347768368047607
39,0.010118,-11.481803616388188,-11.326527809567406
40,0.010372,-11.428336003662164,-11.234241245136186
41,0.010625,-11.261341268024719,-11.306019684138246
42,0.010878,-11.450308995193407,-11.306752117189287
43,0.011131,-11.475944151979856,-11.222522316319523
44,0.011385,-11.383657587548637,-11.234973678187227
45,0.011638,-11.380727855344471,-11.257679102769512
46,0.011892,-11.36974135957885,-11.210070954451819
47,0.012146,-11.345571068894483,-11.240100709544517
48,0.012399,-11.275257495994506,-11.356557564660104
49,0.012652,-11.460563057907986,-11.397573815518424
50,0.012906,-11.284779125658044,-11.213733119707026
51,0.013158,-11.382925154497595,-11.26720073243305
52,0.013411,-11.324330510414281,-11.310414282444494
53,0.013663,-11.399771114671548,-11.196154726482032
54,0.013918,-11.285511558709086,-11.440787365529868
55,0.014171,-11.424673838406957,-11.173449301899748
56,0.014425,-11.327260242618447,-11.307484550240329
57,0.014677,-11.369008926527808,-11.222522316319523
58,0.014936,-11.349965667200731,-11.197619592584115
59,0.01519,-11.36461432822156,-11.336781872281986
60,0.015443,-11.291371023117417,-11.304554818036163
61,0.015696,-11.273060196841381,-11.495719844357975
62,0.015953,-11.29796292057679,-11.345571068894483
63,0.016207,-11.373403524834057,-11.07164110780499
64,0.016461,-11.342641336690317,-11.204943923094529
65,0.016713,-11.319203479056991,-11.306019684138246
66,0.016966,-11.42613870450904,-11.317006179903867
67,0.01722,-11.458365758754862,-11.305287251087204
68,0.017472,-11.485465781643395,-11.407827878233004
69,0.017724,-11.327992675669488,-11.204211490043487
70,0.017976,-11.440054932478827,-11.407095445181962
71,0.01823,-11.458365758754862,-11.20054932478828
72,0.018483,-11.377065690089264,-11.401235980773631
73,0.018735,-11.484000915541312,-11.130968184939345
74,0.018988,-11.418081940947584,-11.327260242618447
75,0.01924,-11.285511558709086,-11.136095216296635
76,0.019492,-11.248889906157014,-11.42687113756008
77,0.019745,-11.339711604486151,-11.327260242618447
78,0.019998,-11.403433279926755,-11.348500801098648
79,0.020252,-11.355825131609063,-11.317006179903867
80,0.020504,-11.401235980773631,-11.306019684138246
81,0.020758,-11.420279240100708,-11.199084458686198
82,0.021012,-11.384390020599678,-11.393911650263217
83,0.021265,-11.424673838406957,-11.306019684138246
84,0.021516,-11.28258182650492,-11.141222247653925
85,0.021767,-11.292103456168459,-11.325062943465323
86,0.022019,-11.285511558709086,-11.1177843900206
87,0.022273,-11.411490043488211,-11.319935912108033
88,0.022527,-11.411490043488211,-11.387319752803844
89,0.022779,-11.348500801098648,-11.481803616388188
90,0.023031,-11.560906385900665,-11.322133211261157
91,0.023285,-11.46202792401007,-11.257679102769512
92,0.023537,-11.210070954451819,-11.367544060425725
93,0.023791,-11.338246738384068,-11.437857633325702
94,0.024045,-11.343373769741358,-11.387319752803844
95,0.024298,-11.358754863813228,-11.330189974822613
96,0.024552,-11.385854886701761,-11.300892652780956
97,0.024806,-11.397573815518424,-11.235706111238269
98,0.025059,-11.343373769741358,-11.12364385442893
99,0.025312,-11.407095445181962,-11.145616845960173
100,0.025566,-11.343373769741358,-11.339711604486151
101,0.02582,-11.459830624856945,-11.206408789196612
102,0.026074,-11.294300755321583,-11.225452048523689
103,0.026328,-11.420279240100708,-11.292103456168459
104,0.026581,-11.265003433279926,-11.228381780727855
105,0.026835,-11.420279240100708,-11.449576562142365
106,0.027089,-11.45690089265278,-11.440054932478827
107,0.027341,-11.309681849393453,-11.167589837491416
108,0.027594,-11.46715495536736,-11.363149462119477
109,0.027847,-11.209338521400777,-11.396108949416341
110,0.028099,-11.406363012130921,-11.363881895170518
111,0.028353,-11.316273746852826,-11.312611581597618
112,0.028605,-11.384390020599678,-11.319203479056991
113,0.028857,-11.471549553673608,-11.11851682307164
114,0.029111,-11.377065690089264,-11.309681849393453
115,0.029363,-11.398306248569465,-11.296498054474707
116,0.029615,-11.373403524834057,-11.110460059510185
117,0.029868,-11.341176470588234,-11.261341268024719
118,0.030121,-11.361684596017394,-11.2928358892195
119,0.030373,-11.373403524834057,-11.21593041886015
120,0.030627,-11.473746852826732,-11.421744106202791
